scode,School District Level Code (SCHLEV) [District Finance] 2017-18
601,03-Elementary/secondary school system
602,03-Elementary/secondary school system
761,03-Elementary/secondary school system
603,03-Elementary/secondary school system
604,03-Elementary/secondary school system
605,03-Elementary/secondary school system
606,03-Elementary/secondary school system
607,03-Elementary/secondary school system
608,03-Elementary/secondary school system
609,03-Elementary/secondary school system
610,03-Elementary/secondary school system
611,03-Elementary/secondary school system
612,03-Elementary/secondary school system
613,03-Elementary/secondary school system
763,03-Elementary/secondary school system
614,03-Elementary/secondary school system
615,03-Elementary/secondary school system
764,03-Elementary/secondary school system
616,03-Elementary/secondary school system
617,03-Elementary/secondary school system
618,03-Elementary/secondary school system
765,03-Elementary/secondary school system
619,03-Elementary/secondary school system
620,03-Elementary/secondary school system
621,03-Elementary/secondary school system
622,03-Elementary/secondary school system
766,03-Elementary/secondary school system
767,03-Elementary/secondary school system
623,03-Elementary/secondary school system
868,07-Educational service agency
624,03-Elementary/secondary school system
626,03-Elementary/secondary school system
872,07-Educational service agency
627,03-Elementary/secondary school system
628,03-Elementary/secondary school system
769,03-Elementary/secondary school system
773,03-Elementary/secondary school system
629,03-Elementary/secondary school system
630,01-Elementary school system only
631,03-Elementary/secondary school system
632,03-Elementary/secondary school system
886,07-Educational service agency
633,03-Elementary/secondary school system
634,03-Elementary/secondary school system
635,03-Elementary/secondary school system
636,03-Elementary/secondary school system
771,03-Elementary/secondary school system
7830410,01-Elementary school system only
7830613,01-Elementary school system only
7830103,03-Elementary/secondary school system
7830611,01-Elementary school system only
7830610,01-Elementary school system only
7830310,03-Elementary/secondary school system
7830110,01-Elementary school system only
7830614,01-Elementary school system only
7830210,03-Elementary/secondary school system
7830612,01-Elementary school system only
637,03-Elementary/secondary school system
638,03-Elementary/secondary school system
639,03-Elementary/secondary school system
640,03-Elementary/secondary school system
641,03-Elementary/secondary school system
772,03-Elementary/secondary school system
642,03-Elementary/secondary school system
643,03-Elementary/secondary school system
644,03-Elementary/secondary school system
890,NA
892,NA
891,03-Elementary/secondary school system
896,NA
645,03-Elementary/secondary school system
646,03-Elementary/secondary school system
647,03-Elementary/secondary school system
648,03-Elementary/secondary school system
774,03-Elementary/secondary school system
649,03-Elementary/secondary school system
650,03-Elementary/secondary school system
651,03-Elementary/secondary school system
652,03-Elementary/secondary school system
653,03-Elementary/secondary school system
654,03-Elementary/secondary school system
655,03-Elementary/secondary school system
656,03-Elementary/secondary school system
880,07-Educational service agency
657,03-Elementary/secondary school system
658,03-Elementary/secondary school system
659,03-Elementary/secondary school system
660,03-Elementary/secondary school system
776,03-Elementary/secondary school system
661,03-Elementary/secondary school system
662,03-Elementary/secondary school system
663,03-Elementary/secondary school system
664,03-Elementary/secondary school system
665,03-Elementary/secondary school system
666,03-Elementary/secondary school system
862,07-Educational service agency
726,03-Elementary/secondary school system
667,03-Elementary/secondary school system
668,03-Elementary/secondary school system
669,03-Elementary/secondary school system
670,03-Elementary/secondary school system
671,03-Elementary/secondary school system
672,03-Elementary/secondary school system
673,03-Elementary/secondary school system
674,03-Elementary/secondary school system
876,07-Educational service agency
675,03-Elementary/secondary school system
676,03-Elementary/secondary school system
677,03-Elementary/secondary school system
678,03-Elementary/secondary school system
679,03-Elementary/secondary school system
680,03-Elementary/secondary school system
779,03-Elementary/secondary school system
681,03-Elementary/secondary school system
682,03-Elementary/secondary school system
683,03-Elementary/secondary school system
684,03-Elementary/secondary school system
685,03-Elementary/secondary school system
686,03-Elementary/secondary school system
687,03-Elementary/secondary school system
688,03-Elementary/secondary school system
689,03-Elementary/secondary school system
690,03-Elementary/secondary school system
691,03-Elementary/secondary school system
692,03-Elementary/secondary school system
693,03-Elementary/secondary school system
694,03-Elementary/secondary school system
695,03-Elementary/secondary school system
781,03-Elementary/secondary school system
696,03-Elementary/secondary school system
697,03-Elementary/secondary school system
698,03-Elementary/secondary school system
699,03-Elementary/secondary school system
856,07-Educational service agency
864,07-Educational service agency
700,03-Elementary/secondary school system
701,03-Elementary/secondary school system
702,03-Elementary/secondary school system
703,03-Elementary/secondary school system
704,03-Elementary/secondary school system
705,03-Elementary/secondary school system
706,03-Elementary/secondary school system
707,03-Elementary/secondary school system
852,07-Educational service agency
858,07-Educational service agency
850,07-Educational service agency
708,03-Elementary/secondary school system
866,07-Educational service agency
709,03-Elementary/secondary school system
888,07-Educational service agency
710,03-Elementary/secondary school system
711,03-Elementary/secondary school system
784,03-Elementary/secondary school system
712,03-Elementary/secondary school system
713,03-Elementary/secondary school system
714,03-Elementary/secondary school system
854,07-Educational service agency
715,03-Elementary/secondary school system
716,03-Elementary/secondary school system
717,03-Elementary/secondary school system
718,03-Elementary/secondary school system
719,03-Elementary/secondary school system
720,03-Elementary/secondary school system
721,03-Elementary/secondary school system
722,03-Elementary/secondary school system
785,03-Elementary/secondary school system
625,03-Elementary/secondary school system
723,03-Elementary/secondary school system
724,03-Elementary/secondary school system
725,03-Elementary/secondary school system
786,03-Elementary/secondary school system
884,07-Educational service agency
7830615,01-Elementary school system only
7830616,01-Elementary school system only
7830619,01-Elementary school system only
7830617,01-Elementary school system only
7830618,01-Elementary school system only
7820212,01-Elementary school system only
7820618,02-Secondary school system only
7820617,01-Elementary school system only
7820613,02-Secondary school system only
7820412,03-Elementary/secondary school system
7820120,03-Elementary/secondary school system
7820616,01-Elementary school system only
7820614,01-Elementary school system only
7820612,01-Elementary school system only
7820108,02-Secondary school system only
7820110,01-Elementary school system only
7820119,02-Secondary school system only
7820615,01-Elementary school system only
7820121,01-Elementary school system only
7991893,03-Elementary/secondary school system
7991894,03-Elementary/secondary school system
7991895,03-Elementary/secondary school system
727,03-Elementary/secondary school system
728,03-Elementary/secondary school system
729,03-Elementary/secondary school system
730,03-Elementary/secondary school system
731,06-Nonoperating school system
732,03-Elementary/secondary school system
733,03-Elementary/secondary school system
734,03-Elementary/secondary school system
735,03-Elementary/secondary school system
736,03-Elementary/secondary school system
745,03-Elementary/secondary school system
789,03-Elementary/secondary school system
737,03-Elementary/secondary school system
738,03-Elementary/secondary school system
739,03-Elementary/secondary school system
740,03-Elementary/secondary school system
791,03-Elementary/secondary school system
741,03-Elementary/secondary school system
742,03-Elementary/secondary school system
743,03-Elementary/secondary school system
744,03-Elementary/secondary school system
792,03-Elementary/secondary school system
793,03-Elementary/secondary school system
746,03-Elementary/secondary school system
747,03-Elementary/secondary school system
748,03-Elementary/secondary school system
749,03-Elementary/secondary school system
750,03-Elementary/secondary school system
751,03-Elementary/secondary school system
752,03-Elementary/secondary school system
860,07-Educational service agency
753,03-Elementary/secondary school system
754,03-Elementary/secondary school system
755,03-Elementary/secondary school system
756,03-Elementary/secondary school system
757,03-Elementary/secondary school system
758,03-Elementary/secondary school system
759,03-Elementary/secondary school system
