CONUM,County Name [District] 2017-18,Agency Name,State Name [District] Latest available year,Limited English Proficient (LEP) / English Language Learners (ELL) [District] 2017-18,Individualized Education Program Students [District] 2017-18,Direct Certification [Public School] 2017-18,Free Lunch Eligible [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2017-18,Grades 1-8 Students [District] 2017-18,Grades 9-12 Students [District] 2017-18,Female Students [District] 2017-18,Male Students [District] 2017-18,Male Students [Public School] 2017-18,Female Students [Public School] 2017-18,American Indian/Alaska Native Students [District] 2017-18,Asian or Asian/Pacific Islander Students [District] 2017-18,Hispanic Students [District] 2017-18,Black Students [District] 2017-18,White Students [District] 2017-18,Hawaiian Nat./Pacific Isl. Students [District] 2017-18,Two or More Races Students [District] 2017-18,Total Race/Ethnicity [District] 2017-18,Asian or Asian/Pacific Islander Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2017-18,Hispanic Students [Public School] 2017-18,Black Students [Public School] 2017-18,White Students [Public School] 2017-18,Hawaiian Nat./Pacific Isl. Students [Public School] 2017-18,Two or More Races Students [Public School] 2017-18,Total Race/Ethnicity [Public School] 2017-18,State Name [District] 2017-18,Agency Name [District] 2017-18,Agency ID - NCES Assigned [District] Latest available year,Lowest Grade Offered [District] 2017-18,Highest Grade Offered [District] 2017-18,Agency Type [District] 2017-18,School District Level Code (SCHLEV) [District Finance] 2017-18,Full-Time Equivalent (FTE) Teachers [District] 2017-18,Full-Time Equivalent (FTE) Teachers [Public School] 2017-18,Pupil/Teacher Ratio [District] 2017-18,Pupil/Teacher Ratio [Public School] 2017-18,Total Staff [District] 2017-18,Instructional Aides [District] 2017-18,Instructional Coordinators [District] 2017-18,Elementary Guidance Counselors [District] 2017-18,Secondary Guidance Counselors [District] 2017-18,Other Guidance Counselors [District] 2017-18,Total Guidance Counselors [District] 2017-18,Librarians/Media Specialists [District] 2017-18,Library Media Support Staff [District] 2017-18,LEA Administrators [District] 2017-18,LEA Administrative Support Staff [District] 2017-18,School Administrators [District] 2017-18,School Administrative Support Staff [District] 2017-18,Student Support Services Staff [District] 2017-18,Other Support Services Staff [District] 2017-18,"Total Students, All Grades (Excludes AE) [District] 2017-18","Total Students, All Grades (Excludes AE) [Public School] 2017-18"
13001,Appling County,APPLING COUNTY,Georgia,242,526,1779,3289,0,3289,2131,1005,1763,1876,1876,1763,2,26,569,817,2098,1,126,3639,26,2,569,817,2098,1,126,3639,GEORGIA,Appling County,1300060,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,247.1,247.1,14.73,14.73,505.1,77.9,8.3,3.4,5.6,0,9,5,2,8.7,4.6,10,20.9,15.8,95.8,3639,3639
13003,Atkinson County,ATKINSON COUNTY,Georgia,208,192,523,1328,197,1525,996,488,836,863,863,836,1,0,662,270,737,0,29,1699,0,1,662,270,737,0,29,1699,GEORGIA,Atkinson County,1300090,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,113.3,113.1,15,15.02,229.4,31,1,2,2,0,4,2.5,2,5.1,3,7,5,6.5,49,1699,1699
13121,Fulton County,ATLANTA PUBLIC SCHOOLS,Georgia,1908,5623,17653,38992,588,39580,34048,12244,25749,26398,26398,25749,79,563,3772,38467,8085,41,1140,52147,563,79,3772,38467,8085,41,1140,52147,GEORGIA,Atlanta Public Schools,1300120,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,3921.2,3897.2,13.3,13.38,7871.2,777.9,433.7,58.5,80,0,138.5,80,5,143.2,197.1,271,234.1,255.2,1414.3,52147,52147
13005,Bacon County,BACON COUNTY,Georgia,87,342,772,1511,72,1583,1289,577,1036,1104,1104,1036,1,6,288,462,1294,0,89,2140,6,1,288,462,1294,0,89,2140,GEORGIA,Bacon County,1300150,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,144.1,144.1,14.85,14.85,287.5,42.6,4.5,2,2,0,4,3,1,6,3.8,8,12.1,10.6,47.8,2140,2140
13007,Baker County,BAKER COUNTY,Georgia,miss,55,156,284,0,284,165,78,141,145,145,141,1,0,30,183,58,0,14,286,0,1,30,183,58,0,14,286,GEORGIA,Baker County,1300180,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,24.1,24,11.87,11.92,68.1,12,0.5,0,1,0,1,1,1,3.7,3,1,1.3,1.7,17.8,286,286
13009,Baldwin County,BALDWIN COUNTY,Georgia,33,553,2184,3484,372,3856,3339,1180,2576,2643,2643,2576,3,68,122,3474,1334,5,213,5219,68,3,122,3474,1334,5,213,5219,GEORGIA,Baldwin County,1300210,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,332.9,307.9,15.68,16.95,688.1,86.7,6,4,7,0,11,6,6,9,4,17.5,31,16,162,5219,5219
13011,Banks County,BANKS COUNTY,Georgia,73,427,942,1485,196,1681,1692,885,1344,1448,1448,1344,2,19,239,52,2403,0,77,2792,19,2,239,52,2403,0,77,2792,GEORGIA,Banks County,1300240,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,202.1,202.1,13.81,13.81,426.6,48,0.3,2,3,0,5,4,6.5,8,5.6,8.8,14.9,14.4,109,2792,2792
13013,Barrow County,BARROW COUNTY,Georgia,1048,1936,3796,6701,1314,8015,8492,3823,6730,7072,7072,6730,31,656,2548,1774,8061,6,726,13802,656,31,2548,1774,8061,6,726,13802,GEORGIA,Barrow County,1300290,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,943.3,913.9,14.63,15.1,1652.5,194,15,10,13.5,0,23.5,15,14,13.1,13.5,50.8,68.6,40.4,261.3,13802,13802
13015,Bartow County,BARTOW COUNTY,Georgia,563,1633,3081,6288,1287,7575,8093,4057,6543,6993,6993,6543,27,113,1759,1268,9784,7,578,13536,113,27,1759,1268,9784,7,578,13536,GEORGIA,Bartow County,1300330,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,900.8,881.1,15.03,15.36,1737.8,158.5,19.3,12,16,0,28,19,0,8.3,11,47,72,67.4,406.5,13536,13536
13017,Ben Hill County,BEN HILL COUNTY,Georgia,91,420,1441,3127,0,3127,1941,829,1540,1635,1635,1540,5,21,385,1347,1333,0,84,3175,21,5,385,1347,1333,0,84,3175,GEORGIA,Ben Hill County,1300360,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,212,202.1,14.98,15.71,432.8,77,11,2,3,0,5,3.7,2,4.7,6,10,12,12.5,76.9,3175,3175
13019,Berrien County,BERRIEN COUNTY,Georgia,52,359,1349,2630,0,2630,1945,860,1543,1607,1607,1543,7,12,236,395,2382,0,118,3150,12,7,236,395,2382,0,118,3150,GEORGIA,Berrien County,1300390,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,205.7,203.9,15.31,15.45,431.1,69.1,5,2.5,3.5,0,6,4,3,10.5,5.4,9,13.8,18.3,81.3,3150,3150
13021,Bibb County,BIBB COUNTY,Georgia,460,2343,11476,23900,0,23900,14909,6373,11757,12353,12353,11757,25,431,1165,17480,4417,18,574,24110,431,25,1165,17480,4417,18,574,24110,GEORGIA,Bibb County,1300420,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,1616,1558,14.92,15.47,3530.4,385,93.7,22,28,0,50,35,32,42.5,84,96,120,147,829.2,24110,24110
13023,Bleckley County,BLECKLEY COUNTY,Georgia,4,377,795,1700,133,1833,1499,711,1264,1286,1286,1264,2,19,69,658,1723,1,78,2550,19,2,69,658,1723,1,78,2550,GEORGIA,Bleckley County,1300440,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,171.9,163.9,14.83,15.56,359.8,44.3,2.5,2,2.5,0,4.5,4,0,6.2,4.5,10.3,14.3,18.5,78.8,2550,2550
13025,Brantley County,BRANTLEY COUNTY,Georgia,17,391,1964,2834,0,2834,2029,971,1647,1785,1785,1647,4,12,90,108,3152,0,66,3432,12,4,90,108,3152,0,66,3432,GEORGIA,Brantley County,1300480,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,239,239.1,14.36,14.35,520,72.5,4.7,3.5,3.5,0,7,5.6,1,6.4,5,14.5,19,14,131.3,3432,3432
13143,Haralson County,BREMEN CITY,Georgia,3,205,249,180,71,251,1383,683,1178,1106,1106,1178,4,36,30,128,2025,3,58,2284,36,4,30,128,2025,3,58,2284,GEORGIA,Bremen City,1300510,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,138.5,138.5,16.49,16.49,253.9,43.7,0.8,1.5,1.5,0,3,3,0,5.1,2.5,8,10,6.8,32.5,2284,2284
13027,Brooks County,BROOKS COUNTY,Georgia,85,262,1065,2121,0,2121,1284,579,999,1148,1148,999,1,7,242,1135,699,1,62,2147,7,1,242,1135,699,1,62,2147,GEORGIA,Brooks County,1300540,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,141.8,141.8,15.14,15.14,316,28.3,6.6,2,3,0,5,3,0,9.2,6,11.2,10,11.1,83.8,2147,2147
13029,Bryan County,BRYAN COUNTY,Georgia,97,973,1108,2379,741,3120,5505,2732,4459,4710,4710,4459,16,259,644,1453,6290,28,479,9169,259,16,644,1453,6290,28,479,9169,GEORGIA,Bryan County,1300570,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,578,576.7,15.86,15.9,1100.6,104.4,18,7,14,0,21,10,9,11.5,8,30.5,45,30.8,234.4,9169,9169
13135,Gwinnett County,BUFORD CITY,Georgia,490,463,475,1523,249,1772,3006,1426,2345,2463,2463,2345,5,150,1416,520,2496,6,215,4808,150,5,1416,520,2496,6,215,4808,GEORGIA,Buford City,1300600,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,295.3,295.3,16.28,16.28,518.9,64.9,0.7,4,5,0,9,3.8,4.6,10.3,8,12,19,10.8,80.5,4808,4808
13031,Bulloch County,BULLOCH COUNTY,Georgia,241,1592,4450,5856,567,6423,6456,2849,5150,5459,5459,5150,20,159,697,3914,5400,18,401,10609,159,20,697,3914,5400,18,401,10609,GEORGIA,Bulloch County,1300630,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,671.9,665.9,15.79,15.93,1455,191.5,17.8,10,15.8,0,25.8,16,0,14.8,19,42.5,58.1,46.4,351.2,10609,10609
13033,Burke County,BURKE COUNTY,Georgia,36,478,2337,4206,0,4206,2447,1191,2046,2160,2160,2046,13,16,145,2732,1131,4,165,4206,16,13,145,2732,1131,4,165,4206,GEORGIA,Burke County,1300660,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,320.7,290.7,13.12,14.47,787.8,137.6,6,5,8,0,13,5,2,12.6,5,21,28.5,20,216.4,4206,4206
13035,Butts County,BUTTS COUNTY,Georgia,30,422,1146,3028,0,3028,2084,962,1715,1767,1767,1715,3,16,135,1129,2047,1,151,3482,16,3,135,1129,2047,1,151,3482,GEORGIA,Butts County,1300690,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,218.6,217.5,15.93,16.01,465.7,56,5.4,3,3.6,0,6.6,5,0,8.8,7,15.2,20,19.3,103.8,3482,3482
13129,Gordon County,CALHOUN CITY,Georgia,484,329,564,1989,243,2232,2496,1105,1928,2114,2114,1928,10,82,1446,250,2109,8,137,4042,82,10,1446,250,2109,8,137,4042,GEORGIA,Calhoun City,1300720,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,225.7,215.1,17.91,18.79,409.5,62.7,5,4,2,0,6,1,3,7.4,6,8,14,17.6,53.1,4042,4042
13037,Calhoun County,CALHOUN COUNTY,Georgia,12,50,348,600,0,600,339,198,290,319,319,290,0,0,23,566,16,0,4,609,0,0,23,566,16,0,4,609,GEORGIA,Calhoun County,1300750,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,38.8,38.9,15.7,15.66,103.2,9.8,3.7,1,1,0,2,2,1,3.8,1.9,4.8,5,6.8,23.6,609,609
13039,Camden County,CAMDEN COUNTY,Georgia,56,1204,2707,3818,784,4602,5694,2535,4509,4743,4743,4509,24,121,732,2062,5577,13,723,9252,121,24,732,2062,5577,13,723,9252,GEORGIA,Camden County,1300780,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,563.4,563.4,16.42,16.42,1164.5,135,4,9,11,0,20,15,11,11.6,8,35,48,35,278.5,9252,9252
13043,Candler County,CANDLER COUNTY,Georgia,63,289,933,1976,0,1976,1325,570,1051,1144,1144,1051,1,14,436,650,1022,5,67,2195,14,1,436,650,1022,5,67,2195,GEORGIA,Candler County,1300810,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,127.7,127.8,17.19,17.18,290.4,51.6,3,1,2.1,0,3.1,2,3,6.4,2.7,9.1,12.1,9.8,59.9,2195,2195
13045,Carroll County,CARROLL COUNTY,Georgia,348,2100,3618,7465,1438,8903,8929,4296,7143,7734,7734,7143,27,66,1329,2539,9943,4,969,14877,66,27,1329,2539,9943,4,969,14877,GEORGIA,Carroll County,1300840,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,955.2,918.3,15.57,16.2,1834,243.8,12.5,13,23.6,0,36.6,22.7,2,15,13,56,76,74.5,326.7,14877,14877
13045,Carroll County,CARROLLTON CITY,Georgia,296,560,1717,2783,269,3052,2990,1610,2519,2600,2600,2519,5,70,1081,1667,2037,1,258,5119,70,5,1081,1667,2037,1,258,5119,GEORGIA,Carrollton City,1300870,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,308.7,308.8,16.58,16.58,585.6,71,0,4.2,5.2,0,9.4,4.1,2,10,6,20.1,25.5,17.7,111.1,5119,5119
13015,Bartow County,CARTERSVILLE CITY,Georgia,385,445,797,2041,310,2351,2701,1360,2202,2326,2326,2202,5,85,902,1007,2305,6,218,4528,85,5,902,1007,2305,6,218,4528,GEORGIA,Cartersville City,1300900,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,263.2,263.3,17.2,17.2,470.4,42.5,6.4,4,5,0,9,1,4,8,7.5,10.8,17,23.5,77.5,4528,4528
13047,Catoosa County,CATOOSA COUNTY,Georgia,114,1872,2262,4276,973,5249,6366,3380,5097,5693,5693,5097,16,186,441,347,9416,28,356,10790,186,16,441,347,9416,28,356,10790,GEORGIA,Catoosa County,1300930,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,765,757.1,14.1,14.25,1718.9,266.3,5.7,11,15.5,0,26.5,17.5,0,11.1,20,49.5,77.5,72.7,407.1,10790,10790
13189,McDuffie County,CENTRAL SAVANNAH RIVER RESA,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,GEORGIA,Central Savannah River RESA,1300015,NA,NA,4-Regional Education Service Agency (RESA),07-Educational service agency,0,NA,NA,NA,25.1,0,6.4,0,0,0,0,0,0,4.5,3,0,2,5.7,3.5,NA,NA
13049,Charlton County,CHARLTON COUNTY,Georgia,4,193,525,1074,154,1228,1048,444,821,905,905,821,7,12,44,504,1057,0,102,1726,12,7,44,504,1057,0,102,1726,GEORGIA,Charlton County,1300990,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,108.1,108.2,15.97,15.95,215.8,21,2.2,1.4,1.6,0,3,3.2,3,6.3,3,6,10,5,45,1726,1726
13053,Chattahoochee County,CHATTAHOOCHEE COUNTY,Georgia,12,128,209,530,80,610,364,422,382,463,463,382,2,4,86,231,463,7,52,845,4,2,86,231,463,7,52,845,GEORGIA,Chattahoochee County,1301050,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,55.5,55.5,15.23,15.23,154,24.5,1.5,1,1,0,2,1,0,5,2,5,7,6,44.5,845,845
13249,Schley County,CHATTAHOOCHEE-FLINT RESA,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,GEORGIA,Chattahoochee-Flint RESA,1300016,NA,NA,4-Regional Education Service Agency (RESA),07-Educational service agency,0,NA,NA,NA,41.9,11.6,15,0,0,0,0,0,0,1.5,1,0,4,6.8,2,NA,NA
13055,Chattooga County,CHATTOOGA COUNTY,Georgia,41,520,1126,1961,261,2222,1678,806,1357,1451,1451,1357,2,5,178,248,2216,1,158,2808,5,2,178,248,2216,1,158,2808,GEORGIA,Chattooga County,1301080,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,186.7,183.7,15.04,15.29,331.9,0,9,2,2,0,4,5,0,8,4,11.5,19.5,16,68.2,2808,2808
13057,Cherokee County,CHEROKEE COUNTY,Georgia,2691,5187,5410,10885,1712,12597,25525,13357,20426,21883,21883,20426,65,797,7721,3184,28891,33,1618,42309,797,65,7721,3184,28891,33,1618,42309,GEORGIA,Cherokee County,1301110,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,2704.1,2616.3,15.65,16.17,4801.5,349,89,39,49,0,88,41,3,41.4,64,126,180,231,885,42309,42309
13295,Walker County,CHICKAMAUGA CITY,Georgia,5,95,95,236,69,305,769,436,646,660,660,646,0,8,27,2,1247,0,22,1306,8,0,27,2,1247,0,22,1306,GEORGIA,Chickamauga City,1301140,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,79.9,79.9,16.35,16.35,154.5,11,0,1,2,0,3,2,2,4.2,2.5,4.9,8.5,8,28.5,1306,1306
13089,DeKalb County,CITY SCHOOLS OF DECATUR,Georgia,83,448,495,640,90,730,3542,1339,2713,2801,2801,2713,11,176,240,1160,3529,6,392,5514,176,11,240,1160,3529,6,392,5514,GEORGIA,City Schools of Decatur,1301680,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,387.4,374.6,14.23,14.72,737.2,100.9,7.5,6,5,0,11,7.5,8,22.4,12,16.4,17,21.9,125.2,5514,5514
13059,Clarke County,CLARKE COUNTY,Georgia,1385,1858,5472,12519,0,12519,8302,3247,6566,7034,7034,6566,13,241,3334,6698,2755,17,542,13600,241,13,3334,6698,2755,17,542,13600,GEORGIA,Clarke County,1301170,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,1140.5,1085.5,11.92,12.53,2220.8,222.6,14.8,15,15.5,0,30.5,22,1,21,32,59,62,95.4,520,13600,13600
13061,Clay County,CLAY COUNTY,Georgia,3,33,140,232,0,232,190,NA,113,127,127,113,2,0,1,229,4,0,4,240,0,2,1,229,4,0,4,240,GEORGIA,Clay County,1301200,Prekindergarten,8th Grade,1-Regular local school district that is NOT a component of a supervisory union,01-Elementary school system only,21.5,21.5,11.16,11.16,59.2,7,1.3,1,0,0,1,0.6,0,1.8,3,3,3,2.5,14.5,240,240
13063,Clayton County,CLAYTON COUNTY,Georgia,5255,6018,26288,54245,0,54245,34664,15055,26960,27570,27570,26960,110,2094,11857,37852,1181,44,1392,54530,2094,110,11857,37852,1181,44,1392,54530,GEORGIA,Clayton County,1301230,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,3421,3361,15.94,16.22,6984.5,677.5,143,39.5,61.5,0,101,62,12,70,92.5,172,224,357,1652.5,54530,54530
